 INFO  Accepting connections at http://localhost:3000
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 GET /
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 Returned 200 in 36 ms
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 GET /styles.css
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 GET /controller.js
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 Returned 200 in 3 ms
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 Returned 200 in 5 ms
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 GET /controller.js
 HTTP  2/3/2026 3:43:56 PM 172.16.10.51 Returned 200 in 1 ms
 HTTP  2/3/2026 3:43:57 PM 172.16.10.51 GET /favicon.ico
 HTTP  2/3/2026 3:43:57 PM 172.16.10.51 Returned 404 in 1 ms
